volume	uid	cycle	title	version	incipit	link	link_uid	terminus_post_quem	terminus_ante_quem	dated	autographs	lifetime_publication	first_publication	bibliography	citation	comments	filename	n_lines	n_words
1	A1		«А в ненастные дни…»		«А в ненастные дни…»			1828	1828	1828 г. на основании письма Пушкина к Вяземскому (см. текст статьи).	ПД 1363 (в письме к П. А. Вяземскому от 1 сентября 1828 г.); ПД 842, л. 17 (эпиграф к черновому наброску первой главы «Пиковой дамы»).	да	БдЧ. 1834. Т. 2, кн. 3 (в качестве эпиграфа к первой главе «Пиковой дамы»); в составе письма впервые: СиН. 1902. Кн. 5.	Лернер Н. О. Заметки о Пушкине // ПиС. Вып. 16. С. 20–23; Макогоненко, II. С. 218–220; Рылеев К. Ф. Полн. собр. стихотворений. [Л., 1934]. С. 509–513 (примеч. Ю. Г. Оксмана); Эйдельман Н. Я. 1) «А в ненастные дни…» // Звезда. 1974. № 6. С. 205–207; 2) Пушкин: Из биографии и творчества. 1826–1837. М., 1987. С. 288–296.	Акад. Т. 3, кн. 1. С. 115.		A1.txt	12	27
1	A2		Адели		«Играй, Адель…»			1821	1821	1821 г., предположительно около 12 апреля, по положению автографа в рабочей тетради Пушкина.	ПД 833, л. 8 об. (беловой, с поправками).	да	ПЗ 1824 (с редакторским, по-видимому, заглавием «В альбом малютке»).	Иезуитова Р. В. Рабочая тетрадь Пушкина ПД, № 833: (История заполнения) // ПИМ. Т. 15. С. 246; Модзалевский Б. Л. Пушкин и его современники: Избранные труды (1898–1928). СПб., 1999. С. 481, 484; Смирнова-Россет. С. 97–98, 189; Цявловский М. А. Пушкин по документам Погодинского архива // ПиС. Вып. 19–20. С. 72; Якушкин И. Д. Из «Записок» // П. в восп. 1974. Т. 1. С. 636–364.	АПСС. Т. 2, кн. 2. С. 20.		A2.txt	17	37
1	A3		Акафист Екатерине Николаевне Карамзиной		«Земли достигнув наконец…»			1827	1827	31 июля — 24 ноября 1827 г. на основании пометы Пушкина в черновой рукописи и даты именин адресатки.	На листе, вырезанном из тетр. ПД 836 (л. 19), хранился в Государственной библиотеке в Берлине, фотокопия — ПД, ф. 244, оп. 1, Прилож. № 9 (один неполный зачеркнутый стих); в тетр. ПД 836, л. 20 (черновой); бывший в альбоме Е. Н. Мещерской, фотокопия — ПД, ф. 244, оп. 1, Прилож. № 11 (беловой).	нет	Якушкин. № 6 (не полностью); более полно: ПиС. Вып. 15 (публ. П. Е. Щеголева).	Иезуитова Р. В. К истории декабристских замыслов Пушкина 1826–1827 гг. // ПИМ. Т. 11. С. 88–114; Лернер Н. О. Возражение Щеголеву // ПиС. Вып. 15. С. 171–174; Модзалевский Б. Л. Из альбомной старины // Русский библиофил. 1916. № 6. С. 74–81; Щеголев П. Е. 1) «Акафист» Пушкина // ПиС. Вып. 15. С. 27–33; 2) Ответ г. Лернеру // Там же. С. 176–178.	Акад. Т. 3, кн. 1. С. 64.		A3.txt	10	38
1	A4		Аквилон		«Зачем ты, грозный аквилон…»			1824	1830	1824 г., после 9 августа (времени приезда Пушкина в Михайловское); окончательная обработка — 7 сентября 1830 г. в Болдине.	ПД 126 (беловой с поправками, переходящий в черновой).	да	ЛПРИ. 1837. № 1, 2 января.	Благой, II. С. 481–482, 694–696; Виноградов. Стиль П. С. 338–340, 407; Глебов Г. С. Об «Арионе» // П. Врем. Т. 6. С. 304; Есипов В. «Зачем ты, грозный аквилон…»: О стихотворениях «Аквилон» и «Арион» // Московский пушкинист. VII. М., 2000. С. 96–101, 104; Иезуитова Р. В. «Зачем ты, грозный аквилон…»: (О судьбе одного болдинского автографа) // Пушкинский музеум. СПб., 1999. Вып. 1. С. 137–143; Майков Л. Н. Из заметок о Пушкине. I. О стихотворениях «Туча» и «Аквилон» // РВ. 1893. № 2. С. 3–9; Томашевский Б. В. Пушкин и Лафонтен // П. Врем. Т. 3. С. 245–246; Томашевский. Пушкин, II. С. 50–51; Тынянов Ю. Н. Пушкин // Тынянов Ю. Н. Архаисты и новаторы. Л., 1929. С. 241–242; Фомичев С. А. «Так, басней правду заменя…»: (О стихотворении Пушкина «Аквилон») // Театр и литература: Сб. статей к 95-летию А. А. Гозенпуда. СПб., 2003. С. 120–128; Ходасевич В. Ф. Поэтическое хозяйство Пушкина. Л., 1924. С. 52; Эткинд Е. Г. Симметрические композиции у Пушкина. Париж, 1988. С. 35–36.	АПСС. Т. 3, кн. 1. С. 33.		A4.txt	16	67
1	A5		Алексееву		«Мой милый, как несправедливы…»			1821	1821	Концом ноября — декабрем 1821 г. на основании положения в тетради.	ПД 833, л. 13–14 (беловой с правкой).	да	ПЗ 1825.	Бартенев. П. в южной России. С. 95; Бродский Н. Л. Евгений Онегин. Роман А. С. Пушкина. 3-е изд. М., 1950. С. 147–148; Венг. Т. 2. С. 568–569 (примеч. Н. О. Лернера); Вигель. Ч. 6. С. 116; Зеленецкий К. П. Сведения о пребывании А. С. Пушкина в Кишиневе и Одессе // Москв. 1854. № 9. Отд. V. С. 3–4; Липранди И. П. Из дневника и воспоминаний // П. в восп. 1974. Т. 1. С. 285–287; Ходасевич В. Ф. Поэтическое хозяйство Пушкина. Л., 1924. С. 66–67.	АПСС. Т. 2, кн. 2. С. 54–55.		A5.txt	44	177
1	A6		«Альфонс садится на коня…»		«Альфонс садится на коня…»			1835	1836	Предположительно 1835–1836 гг., по времени передачи автографа К. П. Брюллову и по бумаге, которой Пушкин пользовался именно в эти годы.	ПД 230 (беловой, переходящий в черновой).	нет	Посм. Т. 9.	Бэлза И. Ф. 1) «Рукопись, найденная в Сарагосе» // Потоцкий Я. Рукопись, найденная в Сарагосе. М., 1968. С. 571–595. (Сер. «Лит. памятники»); 2) Пушкин и Ян Потоцкий // Искусство слова: Сб. ст. к 80-летию Д. Д. Благого. М., 1973. С. 125–134; 3) Исторические судьбы романтизма и музыка: Очерки. М., 1985. С. 210–214; 4) Заметки о поэтике Пушкина // Контекст 1987: Литературно-теоретические исследования. М., 1988. С. 60–64; Гаврилова Е. И. Пушкин и Карл Брюллов // Врем. ПК 1970. С. 51–56; Дворский А. Пушкин и польская культура. СПб., 1999. С. 197–226; Кубасов И. А. Вновь найденный черновой набросок стихотворения Пушкина «Альфонс» // РС. 1900. Т. 101, № 2. С. 309–315; Ланда С. С. 1) Ян Потоцкий и его роман «Рукопись, найденная в Сарагосе» // Потоцкий Я. Рукопись, найденная в Сарагосе. М., 1971. С. 5–34; 2) Последний поэтический отклик Пушкина на казнь декабристов // Ланда С. С. «Я вижу некий свет…» СПб., 1999. С. 183–192; Сумцов Н. Ф. Исследования о поэзии А. С. Пушкина // Харьковский университетский сб. в память А. С. Пушкина. (1799–1899). Харьков, 1900. С. 191–194; Чернобаев В. Г. К истории наброска «Альфонс садится на коня» // П. Врем. Вып. 4–5. С. 405–416.	Акад. Т. 3, кн. 1. С. 436–437.		A6.txt	45	203
1	A7		Амур и Гименей (Сказка)	Ранняя редакция стихотворения «Амур и Гименей»	«Сегодня, добрые мужья…»			1816	1816	1816 г. согласно пометам в Лицейской тетради Пушкина, в тетради Всеволожского, в оглавлении цензурной рукописи «Стихотворений» Пушкина 1826 г., в Ст 1826 и Ст 1829.	В тетр. 829, л. 8–8 об. (копия А. Д. Илличевского, с пометами и поправками Пушкина).	да	Ст 1826 (отдел «Разные стихотворения»).	АПСС. Т. 1. С. 724–725 (примеч.); Томашевский. П. и Франция. С. 226; Ходасевич В. Ф. «Амур и Гименей» // Русский современник. Л.; М., 1924. Кн. 2. С. 216–228; Чубукова Е. В. «Амур и Гименей»: (Творческая история лицейской сказки Пушкина) // Врем. ПК 1980. С. 83–94.	АПСС. Т. 1. С. 220–221.		A7.txt	62	261
1	A7		Амур и Гименей	Поздняя редакция стихотворения «Амур и Гименей (Сказка)»	«Сегодня, добрые мужья…»			1816	1816	1816 г. согласно пометам в Лицейской тетради Пушкина, в тетради Всеволожского, в оглавлении цензурной рукописи «Стихотворений» Пушкина 1826 г., в Ст 1826 и Ст 1829.	В тетр. 829, л. 8–8 об. (копия А. Д. Илличевского, с пометами и поправками Пушкина).	да	Ст 1826 (отдел «Разные стихотворения»).	АПСС. Т. 1. С. 724–725 (примеч.); Томашевский. П. и Франция. С. 226; Ходасевич В. Ф. «Амур и Гименей» // Русский современник. Л.; М., 1924. Кн. 2. С. 216–228; Чубукова Е. В. «Амур и Гименей»: (Творческая история лицейской сказки Пушкина) // Врем. ПК 1980. С. 83–94.	АПСС. Т. 1. С. 221–222.		A7_2.txt	57	243
1	A8		Ангел		«В дверях Эдема ангел нежный…»			1827	1827	Январем (начало сбора издателями материалов для альманаха «Северные цветы» на 1828 г.) — 20 июля (дата отправки стихотворения в III Отделение А. Х. Бенкендорфу для цензуры — см. XIII, 338; Летопись 1999. Т. 2. С. 286) 1827 г.	Неизвестен.	да	СЦ на 1828 г.	Лемке М. К. Николаевские жандармы и литература 1826–1855 гг. СПб., 1909. С. 484; Овсянико-Куликовский Д. Н. Собр. соч. СПб., 1909. Т. 4 Пушкин. С. 137; Слонимский. С. 81; Федоров А. В. Лермонтов и литература его времени. Л., 1967. С. 116, 119–120; Шульц Р. Пушкин и Казот. Washington, 1987. C. 116–119; Shaw J. T. Pushkin poems and other studies. Los Angeles, 1996. Vol. 2. C. 61–81.	Акад. Т. 3, кн. 1. С. 59.		A8.txt	12	55
1	A9		Андрей Шенье		«Меж тем, как изумленный мир…»			1825	1825	1825 г. по дате в оглавлении издания «Стихотворений» 1826 г., предположительно концом апреля — началом июня на основании отсутствия элегии в Капнистовской тетради (отосланной Пушкиным в Петербург 15 марта 1825 г. для подготовки будущего сборника), по переписке Пушкина, а также по положению чернового автографа в рабочей тетради.	В тетр. ПД 835, л. 59–64, 65 (черновой, под заглавием «Андрей Шенье в темнице», на л. 65 — черновой автограф примечания, не включенного в печатный текст); ПД 88 (ст. 21–64; копия А. Ф. Леопольдова, с тремя поправками Пушкина; находилась в деле Главного военно-судного управления); ПД 719 (запись ст. 25, 26, 30, 31, 32, 35, 38, 39, 48, 49 в показании Пушкина по делу о распространении стихов из элегии «Андрей Шенье», данном 27 января 1827 г.; из дела Главного военно-судного управления); ПД 720, л. 1 (запись ст. 18–21 в показании Пушкина по делу о распространении стихов из элегии «Андрей Шенье», данном 29 июня 1827 г.; из дела Министерства юстиции).	да	Ст 1826. Отд. «Элегии», с цензурными изъятиями ст. 21–64 и 150; впервые полностью: Ефр. 1880. Т. 2.	Вацуро В. Э. 1) Французская элегия XVIII–XIX веков и русская лирика пушкинской поры // Франц. элегия. С. 39–42; 2) Пророчество Андрея Шенье // Вацуро В. Э. Записки комментатора. СПб., 1994. С. 84–91; Виролайнен М. Н. Посвящение «Андрея Шенье» // Новые безделки Сб. ст. К 60-летию В. Э. Вацуро. М., 1995–1996. С. 354–355; Горохова Р. М. Пушкин и элегия К. Н. Батюшкова «Умирающий Тасс» (К вопросу о заметках Пушкина на полях «Опытов» Батюшкова) // Врем. ПК 1976. С. 33; Мейлах Б. Художественное мышление Пушкина как творческий процесс. М.; Л., 1962. С. 171–172, 177, 179–189; Сандомирская В. Б. 1) «Андрей Шенье» // Стих. П. 1820–1830 гг. C. 8–34; 2) Из истории пушкинского цикла «Подражания древним» (Пушкин и Батюшков) // Врем. ПК 1975. С. 20–22; Сидяков Л. С., Тополевская Т. В. Пунктуация и интонационная эволюция поэтического текста (Элегия А. С. Пушкина «Андрей Шенье») // Philologia: Рижский филологический сборник. Рига, 1997. Вып. 2. С. 152–158; Смирнов И. П. «Пиковая дама», «Отчаяние» и Великая Французская Революция // А. С. Пушкин и В. В. Набоков: Сб. докладов международной конференции 15–18 апр. 1999 г. СПб., 1999. С. 150; Томашевский. П. и Франция. С. 185–189; Томашевский. Пушкин, II., по указ.; Фридлендер Г. М. Вольность и закон (Пушкин и Великая Французская революция) // Великая Французская революция и русская литература. Л., 1990. С. 160–167; Шенье А. Соч. 1819. М., 1995. С. 590–592 (примеч. Е. П. Гречаной); Эйдельман Н. Я. 1) Пушкин: Из биографии и творчества. 1826–1837. М., 1987. С. 37–41, 130–131; 2) Пушкин и декабристы: Из истории взаимоотношений. М., 1979. С. 306–335; Эткинд Е. «Союз ума и фурий»: (Пушкинские мятежники) // Россия/Russia. 1987. С. 72–76; Sandler S. The poetics of Authority in Pushkin's «Andre Chenier» // Slavic Review. 1983. Vol. 42, № 2. P. 187–203.	АПСС. Т. 3, кн. 1. С. 54–59.		A9.txt	188	977
